,Date_CD,Year,Season,WeekEnd,LastYear,LastSeason,LastWeekEnd,Date,LastDate,DaysRecency,ClientType,Staff,BLastStaff,RTLastStaff,StaffCancType,BLastServiceCode,BLastWomenMenService,BLastColorCutService,LastServiceCategory,LastServicePrice,LastServiceCost,ServiceCode,ServiceCancType,WomenMenService,ColorCutService,ServiceCategory,ServicePrice,ServiceCost,RTLastWomenMen,RTLastColorCutReciept,LastTotalAmount,LastTotalGST,LastTotalPST,WasProdPerch,IsCanceled,CancelDay,CancelWeekday,CanceledBy,Days,LastIsCanceled,LastCanceledBy,LastCancelWeekday,TotalClientCancellationsTillNow,TotalClientBookingsTillNow,CancellationPcnt
18,20180621,2018,Summer,0,2018.0,Summer,0.0,2018-06-21,2018-06-21,0.0,LowCancClient,JOANNE,BECKY,BECKY,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,50.0,28.45,45.52,0.0,0,,,,,1.0,BECKY,5.0,2.0,19,0.10526315789473684
19,20180621,2018,Summer,0,2018.0,Summer,0.0,2018-06-21,2018-06-21,0.0,LowCancClient,JOANNE,BECKY,BECKY,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,50.0,28.45,45.52,0.0,0,,,,,0.0,,,0.0,16,0.0
20,20180505,2018,Spring,1,2018.0,Spring,1.0,2018-05-05,2018-05-05,0.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,1,0.0
21,20180505,2018,Spring,1,2018.0,Spring,1.0,2018-05-05,2018-05-05,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,3,0.0
22,20180706,2018,Summer,1,2018.0,Spring,1.0,2018-07-06,2018-05-05,62.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,2,0.0
23,20180706,2018,Summer,1,2018.0,Spring,1.0,2018-07-06,2018-05-05,62.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,4,0.0
24,20181207,2018,Winter,1,2018.0,Summer,1.0,2018-12-07,2018-07-06,154.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,6,0.0
25,20180905,2018,Fall,0,2018.0,Fall,0.0,2018-09-05,2018-09-05,0.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,3,0.0
26,20180905,2018,Fall,0,2018.0,Fall,0.0,2018-09-05,2018-09-05,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,4,0.0
27,20180604,2018,Summer,0,2018.0,Spring,1.0,2018-06-04,2018-05-11,24.0,HighCancClient,KELLY,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,1.0,SINEAD,5.0,2.0,3,0.6666666666666666
